start_s,end_s,duration_s,label
0.000000,0.170000,0.170000,in
0.170000,0.540000,0.370000,nineteen
0.540000,0.910000,0.370000,seventy
0.910000,1.380000,0.470000,six
1.380000,2.050000,0.670000,democratic
2.050000,2.410000,0.360000,governor
2.410000,2.750000,0.340000,michael
2.750000,3.350000,0.600000,<unk>
3.630000,4.060000,0.430000,fulfilled
4.060000,4.120000,0.060000,a
4.120000,4.670000,0.550000,campaign
4.670000,5.220000,0.550000,promise
5.290000,5.410000,0.120000,to
5.410000,5.570000,0.160000,de
5.570000,6.520000,0.950000,politicize
6.520000,7.050000,0.530000,judicial
7.050000,7.760000,0.710000,appointments
7.790000,8.160000,0.370000,he
8.160000,8.500000,0.340000,named
8.500000,9.180000,0.680000,republican
9.180000,9.550000,0.370000,edward
9.550000,10.110000,0.560000,hennessy
10.220000,10.270000,0.050000,to
10.270000,10.520000,0.250000,head
10.520000,10.600000,0.080000,the
10.600000,10.960000,0.360000,state
10.960000,11.420000,0.460000,supreme
11.420000,11.860000,0.440000,judicial
11.860000,12.230000,0.370000,court
13.030000,13.190000,0.160000,for
13.190000,13.610000,0.420000,hennessy
13.610000,13.700000,0.090000,it
13.700000,13.890000,0.190000,was
13.890000,14.200000,0.310000,another
14.200000,14.690000,0.490000,step
14.690000,14.990000,0.300000,along
14.990000,15.050000,0.060000,a
15.050000,15.710000,0.660000,distinguished
15.710000,16.090000,0.380000,career
16.460000,16.600000,0.140000,that
16.600000,17.020000,0.420000,began
17.020000,17.170000,0.150000,as
17.170000,17.220000,0.050000,a
17.220000,17.630000,0.410000,trial
17.630000,18.070000,0.440000,lawyer
18.160000,18.290000,0.130000,and
18.290000,18.520000,0.230000,led
18.550000,18.660000,0.110000,to
18.660000,18.730000,0.070000,an
18.730000,19.300000,0.570000,appointment
19.300000,19.490000,0.190000,as
19.490000,20.130000,0.640000,associate
20.130000,20.540000,0.410000,supreme
20.540000,20.800000,0.260000,court
20.800000,21.310000,0.510000,justice
21.310000,21.490000,0.180000,in
21.490000,21.890000,0.400000,nineteen
21.890000,22.300000,0.410000,seventy
22.300000,22.650000,0.350000,one
23.170000,23.350000,0.180000,that
23.350000,23.510000,0.160000,year
23.510000,23.930000,0.420000,thomas
23.930000,24.340000,0.410000,maffy
24.340000,24.520000,0.180000,now
24.520000,25.060000,0.540000,president
25.060000,25.120000,0.060000,of
25.120000,25.220000,0.100000,the
25.220000,25.860000,0.640000,massachusetts
25.860000,26.090000,0.230000,bar
26.090000,26.860000,0.770000,association
27.190000,27.350000,0.160000,was
27.350000,27.680000,0.330000,hennessy
27.680000,27.810000,0.130000,'s
27.810000,28.010000,0.200000,law
28.010000,28.290000,0.280000,clerk
