start_s,end_s,duration_s,label
0.210000,0.260000,0.050000,ð
0.260000,0.410000,0.150000,a
0.410000,0.500000,0.090000,ɒː
0.500000,0.590000,0.090000,t̪
0.590000,0.670000,0.080000,ə
0.670000,0.790000,0.120000,ɒ
0.790000,0.870000,0.080000,v
0.870000,0.940000,0.070000,m
0.940000,1.060000,0.120000,ɒː
1.060000,1.110000,0.050000,d̪
1.110000,1.180000,0.070000,a
1.180000,1.260000,0.080000,n
1.260000,1.370000,0.110000,e
1.370000,1.400000,0.030000,t
1.400000,1.460000,0.060000,h
1.460000,1.540000,0.080000,ɐ
1.540000,1.570000,0.030000,n
1.570000,1.620000,0.050000,d
1.620000,1.670000,0.050000,ɹ
1.670000,1.740000,0.070000,ə
1.740000,1.790000,0.050000,d
1.790000,1.850000,0.060000,s
1.850000,1.900000,0.050000,t
1.900000,1.980000,0.080000,e
1.980000,2.040000,0.060000,t
2.040000,2.090000,0.050000,s
2.090000,2.120000,0.030000,j
2.120000,2.150000,0.030000,uː
2.150000,2.230000,0.080000,p
2.230000,2.260000,0.030000,ɹ
2.260000,2.310000,0.050000,iː
2.310000,2.360000,0.050000,m
2.360000,2.470000,0.110000,k
2.470000,2.550000,0.080000,ɒː
2.550000,2.590000,0.040000,ʈ
2.590000,2.620000,0.030000,ɔ
2.620000,2.730000,0.110000,pʲ
2.730000,2.800000,0.070000,i
2.800000,2.930000,0.130000,ɲ
2.930000,2.960000,0.030000,ɔ
2.960000,3.060000,0.100000,n
3.060000,3.170000,0.110000,z
3.490000,3.560000,0.070000,h
3.560000,3.590000,0.030000,ɛ
3.590000,3.630000,0.040000,n
3.630000,3.690000,0.060000,ə
3.690000,3.800000,0.110000,s
3.800000,3.890000,0.090000,i
3.890000,3.970000,0.080000,i
3.970000,4.040000,0.070000,z
4.040000,4.110000,0.070000,ʋ
4.110000,4.280000,0.170000,aj
4.280000,4.330000,0.050000,ɖ
4.330000,4.390000,0.060000,ʎ
4.390000,4.440000,0.050000,i
4.440000,4.530000,0.090000,ɹ
4.530000,4.580000,0.050000,i
4.580000,4.680000,0.100000,s
4.680000,4.740000,0.060000,p
4.740000,4.840000,0.100000,ɛ
4.840000,4.890000,0.050000,k
4.890000,4.950000,0.060000,t
4.950000,5.030000,0.080000,ɛ
5.030000,5.090000,0.060000,d
5.090000,5.200000,0.110000,f
5.200000,5.270000,0.070000,a
5.270000,5.320000,0.050000,ç
5.320000,5.400000,0.080000,i
5.400000,5.480000,0.080000,z
5.480000,5.560000,0.080000,ʎ
5.560000,5.610000,0.050000,i
5.610000,5.640000,0.030000,ɡ
5.640000,5.690000,0.050000,ə
5.690000,5.730000,0.040000,ɫ
5.730000,5.840000,0.110000,s
5.840000,5.900000,0.060000,k
5.900000,6.010000,0.110000,ɒ
6.010000,6.050000,0.040000,l
6.050000,6.120000,0.070000,ə
6.120000,6.250000,0.130000,ʃ
6.250000,6.370000,0.120000,ɪ
6.370000,6.400000,0.030000,p
6.490000,6.590000,0.100000,a
6.590000,6.630000,0.040000,n
6.630000,6.700000,0.070000,ç
6.700000,6.770000,0.070000,i
6.770000,6.850000,0.080000,z
6.850000,6.890000,0.040000,a
6.890000,6.930000,0.040000,d
6.930000,7.010000,0.080000,mʲ
7.010000,7.050000,0.040000,i
7.050000,7.080000,0.030000,ɲ
7.080000,7.140000,0.060000,i
7.140000,7.220000,0.080000,s
7.220000,7.280000,0.060000,t
7.280000,7.310000,0.030000,ɹ
7.310000,7.360000,0.050000,a
7.360000,7.390000,0.030000,tʲ
7.390000,7.420000,0.030000,i
7.420000,7.490000,0.070000,v
7.490000,7.550000,0.060000,a
7.550000,7.620000,0.070000,bʲ
7.620000,7.660000,0.040000,i
7.660000,7.790000,0.130000,ʎ
7.790000,7.820000,0.030000,i
7.820000,7.860000,0.040000,tʲ
7.860000,8.000000,0.140000,i
8.000000,8.140000,0.140000,z
8.530000,8.610000,0.080000,a
8.610000,8.650000,0.040000,d
8.650000,8.720000,0.070000,m
8.720000,8.930000,0.210000,aj
8.930000,9.080000,0.150000,ɹ
9.080000,9.170000,0.090000,a
9.170000,9.280000,0.110000,z
9.280000,9.350000,0.070000,ɟ
9.350000,9.460000,0.110000,i
9.460000,9.510000,0.050000,v
9.510000,9.620000,0.110000,h
9.620000,9.680000,0.060000,ɛ
9.680000,9.710000,0.030000,n
9.710000,9.780000,0.070000,ə
9.780000,9.900000,0.120000,s
9.900000,10.000000,0.100000,i
10.000000,10.070000,0.070000,m
10.070000,10.140000,0.070000,ɐ
10.140000,10.230000,0.090000,tʃ
10.230000,10.270000,0.040000,ɒ
10.270000,10.300000,0.030000,v
10.300000,10.350000,0.050000,ð
10.350000,10.380000,0.030000,a
10.380000,10.480000,0.100000,c
10.480000,10.530000,0.050000,ɹ
10.530000,10.590000,0.060000,ɛ
10.590000,10.620000,0.030000,dʲ
10.620000,10.690000,0.070000,i
10.690000,10.730000,0.040000,t
11.000000,11.080000,0.080000,f
11.080000,11.160000,0.080000,a
11.160000,11.290000,0.130000,s
11.290000,11.340000,0.050000,ʋ
11.340000,11.410000,0.070000,iː
11.410000,11.470000,0.060000,p
11.470000,11.530000,0.060000,ɪ
11.530000,11.600000,0.070000,ŋ
11.600000,11.710000,0.110000,k
11.710000,11.820000,0.110000,ɒː
11.820000,11.860000,0.040000,ʈ
11.860000,11.930000,0.070000,ɹ
11.930000,12.000000,0.070000,ə
12.000000,12.130000,0.130000,f
12.130000,12.230000,0.100000,ɒ
12.230000,12.330000,0.100000,ɹ
12.330000,12.450000,0.120000,m
12.450000,12.500000,0.050000,æ
12.500000,12.550000,0.050000,t
12.550000,12.590000,0.040000,b
12.590000,12.650000,0.060000,ɛ
12.650000,12.730000,0.080000,ɡ
12.730000,12.840000,0.110000,a
12.840000,12.880000,0.040000,n
12.880000,12.940000,0.060000,a
12.940000,13.010000,0.070000,d
13.010000,13.100000,0.090000,ə
13.100000,13.200000,0.100000,cʰ
13.200000,13.280000,0.080000,ej
13.280000,13.320000,0.040000,d
13.320000,13.370000,0.050000,a
13.370000,13.470000,0.100000,ɡ
13.470000,13.760000,0.290000,o
13.860000,13.970000,0.110000,a
13.970000,14.030000,0.060000,n
14.030000,14.120000,0.090000,f
14.120000,14.160000,0.040000,a
14.160000,14.250000,0.090000,l
14.250000,14.390000,0.140000,a
14.390000,14.480000,0.090000,s
14.480000,14.540000,0.060000,t
14.540000,14.580000,0.040000,j
14.580000,14.660000,0.080000,i
14.660000,14.690000,0.030000,a
14.690000,14.730000,0.040000,i
14.730000,14.810000,0.080000,z
14.810000,14.890000,0.080000,l
14.890000,14.940000,0.050000,ɛ
14.940000,14.990000,0.050000,dʒ
14.990000,15.040000,0.050000,i
15.040000,15.140000,0.100000,s
15.140000,15.180000,0.040000,l
15.180000,15.250000,0.070000,a
15.250000,15.290000,0.040000,tʲ
15.290000,15.320000,0.030000,i
15.320000,15.400000,0.080000,v
15.400000,15.440000,0.040000,a
15.440000,15.580000,0.140000,p
15.580000,15.620000,0.040000,ɹ
15.620000,15.700000,0.080000,uː
15.700000,15.760000,0.060000,v
15.760000,15.790000,0.030000,a
15.790000,15.920000,0.130000,ɫ
16.060000,16.140000,0.080000,ɒ
16.140000,16.190000,0.050000,v
16.310000,16.340000,0.030000,t̪
16.340000,16.450000,0.110000,ɜː
