start_s,end_s,duration_s,label
0.530000,1.120000,0.590000,wanted
1.280000,1.580000,0.300000,chief
1.580000,2.100000,0.520000,justice
2.100000,2.220000,0.120000,of
2.220000,2.310000,0.090000,the
2.310000,3.040000,0.730000,massachusetts
3.040000,3.440000,0.400000,supreme
3.440000,3.850000,0.410000,court
4.160000,4.280000,0.120000,in
4.280000,4.630000,0.350000,april
4.630000,4.810000,0.180000,the
4.810000,4.950000,0.140000,s
4.950000,5.120000,0.170000,j
5.120000,5.310000,0.190000,c
5.310000,5.440000,0.130000,'s
5.440000,5.790000,0.350000,current
5.790000,6.160000,0.370000,leader
6.190000,6.480000,0.290000,edward
6.480000,6.970000,0.490000,hennessy
7.360000,7.700000,0.340000,reaches
7.700000,7.790000,0.090000,the
7.790000,8.410000,0.620000,mandatory
8.410000,9.040000,0.630000,retirement
9.040000,9.270000,0.230000,age
9.270000,9.370000,0.100000,of
9.370000,9.990000,0.620000,seventy
10.070000,10.200000,0.130000,and
10.200000,10.240000,0.040000,a
10.240000,10.780000,0.540000,successor
10.780000,10.990000,0.210000,is
10.990000,11.520000,0.530000,expected
11.520000,11.550000,0.030000,to
11.550000,11.650000,0.100000,be
11.650000,12.010000,0.360000,named
12.010000,12.150000,0.140000,in
12.150000,12.620000,0.470000,march
13.010000,13.110000,0.100000,it
13.110000,13.250000,0.140000,may
13.250000,13.380000,0.130000,be
13.380000,13.450000,0.070000,the
13.450000,13.720000,0.270000,most
13.720000,14.160000,0.440000,important
14.160000,14.790000,0.630000,appointment
14.790000,15.130000,0.340000,governor
15.130000,15.450000,0.320000,michael
15.450000,16.000000,0.550000,dukakis
16.000000,16.410000,0.410000,makes
16.710000,16.950000,0.240000,during
16.950000,17.020000,0.070000,the
17.020000,17.510000,0.490000,remainder
17.510000,17.590000,0.080000,of
17.590000,17.770000,0.180000,his
17.770000,18.670000,0.900000,administration
18.770000,18.960000,0.190000,and
18.960000,19.180000,0.220000,one
19.180000,19.270000,0.090000,of
19.270000,19.350000,0.080000,the
19.350000,19.680000,0.330000,toughest
19.680000,19.920000,0.240000,as
20.370000,21.330000,0.960000,wbur
21.330000,21.430000,0.100000,'s
21.430000,21.750000,0.320000,margo
21.750000,22.280000,0.530000,melnicove
22.280000,22.880000,0.600000,reports
22.930000,23.360000,0.430000,hennessy
23.360000,23.500000,0.140000,will
23.500000,23.690000,0.190000,be
23.690000,23.780000,0.090000,a
23.780000,24.080000,0.300000,hard
24.080000,24.540000,0.460000,act
24.540000,24.580000,0.040000,to
24.580000,25.010000,0.430000,follow
